time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/value_loss
1422,80,58.88,114688,-46.858984920000005,7,0.9737472087144852,0.009229269,-0.9527935404330492,0.2,0.0003,7.848055362701416,-0.002445800093300932,1040,0.0935546875,16.329947430826724
3091,5,59.72,16384,-45.70627780999999,1,0.9644482024013996,0.008886609,-0.9436533664586022,0.2,0.0003,3.537703037261963,-0.003977487803877011,1050,0.10338134765625,21.892230213806034
1750,18,59.44,32768,-46.026491220000004,2,0.9675743840634823,0.008006444,-0.9430450956802815,0.2,0.0003,1.7439711093902588,-0.0030846964306874723,1060,0.1034912109375,20.923824833799152
1498,32,60.41,49152,-45.0207938,3,0.9854846391826868,0.008674352,-0.9442759999074042,0.2,0.0003,7.622072219848633,-0.0019106515027488059,1070,0.09931640625,9.1875926412642
1367,47,58.63,65536,-47.58245194,4,0.9844589792191982,0.0073262546,-0.9285118194296956,0.2,0.0003,1.5378553867340088,-0.002152523745462531,1080,0.08948974609375,10.263681285083294
1328,61,60.75,81920,-45.43922298,5,0.9752955082803965,0.007861568,-0.9251794903306291,0.2,0.0003,7.099557876586914,-0.003171682848369528,1090,0.095635986328125,16.104805703694
1306,75,60.55,98304,-46.049231309999996,6,0.9851007619872689,0.0071793003,-0.919421243853867,0.2,0.0003,1.3524857759475708,-0.0018686064674511727,1100,0.091424560546875,9.817856859695166
1296,88,61.11,114688,-44.91555032,7,0.9784153085201979,0.0065178126,-0.9053576323902235,0.2,0.0003,5.878108978271484,-0.002749757216179205,1110,0.076025390625,14.36156334145926
3278,4,61.19,16384,-45.15846539,1,0.9861039547249675,0.0077309534,-0.8970063859829679,0.2,0.0003,4.751267910003662,-0.00259288367078625,1120,0.086004638671875,9.3106579804793
1756,18,61.47,32768,-44.656239490000004,2,0.9504864402115345,0.0067739827,-0.8819807822816074,0.2,0.0003,11.848030090332031,-0.0028139614036263084,1130,0.076483154296875,32.804624422406775
1511,32,61.12,49152,-45.488490029999994,3,0.9793672040104866,0.009825867,-0.8779399935156107,0.2,0.0003,5.455592632293701,-0.002740147055374109,1140,0.10556640625,13.682074554916472
1382,47,60.98,65536,-45.21011154999999,4,0.9612865895032883,0.0076913433,-0.8662419525673613,0.2,0.0003,3.0311944484710693,-0.0011770636333494622,1150,0.08001708984375,26.67390992352739
1263,64,61.55,81920,-44.83264812,5,0.9733124431222677,0.007283373,-0.8760214664740488,0.2,0.0003,41.26810836791992,-0.0020149147198026186,1160,0.096038818359375,18.729978567082433
1233,79,61.56,98304,-44.46040217000001,6,0.9776347111910582,0.008225889,-0.8645399645203724,0.2,0.0003,2.391117811203003,-0.003291399171394005,1170,0.10059814453125,15.667791554238647
1183,96,61.92,114688,-43.48686520999999,7,0.9842154048383236,0.008123522,-0.8636163265444339,0.2,0.0003,8.071869850158691,-0.004618158463108557,1180,0.097247314453125,11.155910407844932
2816,5,60.68,16384,-45.45712000999999,1,0.9603748768568039,0.007096187,-0.8548543110257014,0.2,0.0003,3.3869242668151855,-0.0003398943793399667,1190,0.077813720703125,27.971183045627548
1645,19,62.5,32768,-42.90910736999999,2,0.9750422555953264,0.0079475455,-0.8525209138635546,0.2,0.0003,35.736968994140625,-0.002022533480021593,1200,0.098956298828125,16.91414048252627
1444,34,62.12,49152,-43.87979016000001,3,0.973042419180274,0.0063843993,-0.8379484764533117,0.2,0.0003,7.855413436889648,-0.0015276264854492184,1210,0.08330078125,19.149229536065832
1317,49,61.9,65536,-43.94921678000001,4,0.989537799730897,0.0086218845,-0.8338461269624531,0.2,0.0003,1.8672016859054565,-0.0036275665165703685,1220,0.101226806640625,7.418342352937907
1254,65,62.99,81920,-42.764621059999996,5,0.975688761100173,0.008087626,-0.83031592881307,0.2,0.0003,1.9829846620559692,-0.00036105149529248594,1230,0.075189208984375,17.856540108751506
1237,79,62.59,98304,-42.64236659,6,0.9883174803107977,0.007863909,-0.8184003063477576,0.2,0.0003,1.4085304737091064,-0.002415119788111042,1240,0.093939208984375,8.569786020740867
1222,93,62.76,114688,-42.10365019999999,7,0.9715789090842009,0.00974083,-0.8126271944958716,0.2,0.0003,10.439962387084961,-0.004024443077378237,1250,0.094573974609375,20.43861250714399
1861,8,63.0,16384,-42.04025394999999,1,0.9854871919378638,0.0082760705,-0.8184077288256958,0.2,0.0003,1.6587673425674438,-0.0015710540591499012,1260,0.089990234375,10.821292430022732
1150,28,61.88,32768,-43.39543247,2,0.9881501281633973,0.0071534286,-0.8177179310936481,0.2,0.0003,1.5834274291992188,-0.001449827119768088,1270,0.082684326171875,8.438253566576169
1054,46,64.71,49152,-39.82495866,3,0.9698912426829338,0.008383991,-0.8168538112891838,0.2,0.0003,3.856125593185425,-0.0021444647923090088,1280,0.0886962890625,22.204901090450583
1003,65,63.38,65536,-41.9658596,4,0.9787450414150953,0.0077632153,-0.8104270822601393,0.2,0.0003,4.422580718994141,-0.0017638626492953336,1290,0.092303466796875,15.223329587560148
971,84,61.81,81920,-44.121208929999995,5,0.9708341863006353,0.008219291,-0.808512563072145,0.2,0.0003,20.44190216064453,-0.0015641805320228742,1300,0.091552734375,21.55734388008714
954,103,63.84,98304,-41.06831319999999,6,0.9436436332762241,0.0071516316,-0.7999375849263742,0.2,0.0003,4.230860710144043,-0.002204150077977829,1310,0.085809326171875,41.07103408053517
940,121,63.78,114688,-41.32653483,7,0.9742368943989277,0.007590911,-0.7913190360181034,0.2,0.0003,6.481624126434326,-0.0018531347353473392,1320,0.096484375,19.1307397171855
2236,7,62.6,16384,-43.267877860000006,1,0.9703609459102154,0.0071827425,-0.7913630560506135,0.2,0.0003,1.4212194681167603,-0.002526722360948952,1330,0.08511962890625,21.77790060508996
1300,25,65.29,32768,-40.112359129999994,2,0.976895771920681,0.007820369,-0.792135787429288,0.2,0.0003,3.3786227703094482,-0.0013252887038561311,1340,0.099285888671875,17.34830133151263
1156,42,64.68,49152,-41.42953031,3,0.9811074621975422,0.007972629,-0.7918429333483801,0.2,0.0003,9.590455055236816,-0.0013445372342175688,1350,0.10140380859375,13.863975629722699
1073,61,66.16,65536,-39.75211692,4,0.973432594910264,0.0083227875,-0.7801292313728482,0.2,0.0003,3.7383058071136475,-0.0013617180623441527,1360,0.0840576171875,20.328586889477446
1031,79,65.98,81920,-39.74505895,5,0.9869593726471066,0.008302828,-0.7746913108509034,0.2,0.0003,21.832815170288086,-0.00179749662447648,1370,0.09918212890625,10.181321977777406
1005,97,65.34,98304,-40.01918697000001,6,0.9767352882772684,0.0063450346,-0.7696771377697587,0.2,0.0003,13.152571678161621,-0.001819663737069277,1380,0.085491943359375,17.89088219217956
986,116,64.45,114688,-40.81980433,7,0.9881059108301997,0.0083195865,-0.7665214233333245,0.2,0.0003,1.5967974662780762,-0.0023562249946280645,1390,0.1079345703125,9.306969329155981
2279,7,64.48,16384,-40.78778009,1,0.9915524879470468,0.0072006257,-0.7602988968603313,0.2,0.0003,4.041822910308838,-0.002119072323466753,1400,0.084210205078125,6.639613182703033
1305,25,64.76,32768,-41.045611519999994,2,0.9815653618425131,0.007301579,-0.7576681846519933,0.2,0.0003,2.8949928283691406,-0.0020761035414125217,1410,0.0794189453125,13.952430613804609
