time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range
96,850,31.79,-91.22838500999998,5,81920,-0.04564139675567276,0.058927163,0.5053644478321075,13.22692584991455,810,42.22958490401506,0.484637451171875,0.0003,-18.69017199203372,0.2
93,1046,30.67,-91.91795777000002,6,98304,-0.04584268924486423,0.06200013,0.5544295608997345,8.776516914367676,820,38.537403700500725,0.50032958984375,0.0003,-18.65019733309746,0.2
91,1246,30.25,-91.50455283000001,7,114688,-0.04769892483982403,0.058783382,0.5307628512382507,15.534441947937012,830,43.29004682190716,0.4796630859375,0.0003,-18.58077108860016,0.2
229,71,29.55,-91.47042546000003,1,16384,-0.044343831667447375,0.06418598,0.6124756932258606,19.581003189086914,840,38.2880045901984,0.507891845703125,0.0003,-18.562290285527705,0.2
125,261,30.27,-91.00914582000001,2,32768,-0.0456058438612672,0.060681988,0.5233668088912964,19.78445816040039,850,41.57759144306183,0.484600830078125,0.0003,-18.538920366764067,0.2
107,455,32.9,-89.20497759,3,49152,-0.046646746315673226,0.061651282,0.5737703144550323,17.936887741088867,860,44.339036625623706,0.48917236328125,0.0003,-18.461625311523676,0.2
98,667,32.89,-91.3672498,4,65536,-0.04714718417508266,0.05069353,0.5061209499835968,15.110858917236328,870,59.73322971835732,0.447052001953125,0.0003,-18.382092411071064,0.2
94,863,31.09,-91.73132925000002,5,81920,-0.04346379452235851,0.05819603,0.5154402852058411,16.560667037963867,880,53.634816461056474,0.48162841796875,0.0003,-18.341465524584056,0.2
92,1060,33.16,-89.97068732,6,98304,-0.04348159883347762,0.058313094,0.551707923412323,13.2750825881958,890,49.02955517470836,0.483721923828125,0.0003,-18.314217115938664,0.2
91,1252,32.35,-89.35180634,7,114688,-0.047171635050654005,0.05398563,0.5633340775966644,31.709453582763672,900,52.45271921157837,0.475482177734375,0.0003,-18.259002931416035,0.2
264,61,31.67,-90.61526036000001,1,16384,-0.047061402896179064,0.0551989,0.5496048927307129,20.386064529418945,910,63.343169290572405,0.4611328125,0.0003,-18.242208757996558,0.2
127,257,31.42,-90.54527403000002,2,32768,-0.04383334111398653,0.05394093,0.5684132277965546,16.93770408630371,920,61.37092105224728,0.46895751953125,0.0003,-18.27028540149331,0.2
105,464,30.74,-90.83036607999999,3,49152,-0.04498044479551026,0.06067352,0.5507746040821075,21.544790267944336,930,49.36183636039495,0.490655517578125,0.0003,-18.207579461485146,0.2
97,674,33.0,-87.07198687999998,4,65536,-0.044599993787596756,0.056685124,0.5618630349636078,12.832200050354004,940,54.55053167939186,0.477276611328125,0.0003,-18.17590599358082,0.2
