time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/explained_variance,train/n_updates
808,114688,31.23,141,-84.63454540000001,7,0.01649781,0.240191650390625,-0.01705230185089022,10.886537688039244,0.0003,0.2,-6.196780078485608,9.123486518859863,0.9007566869258881,200
1958,16384,32.34,8,-83.28688345999998,1,0.016170805,0.23182373046875,-0.01476536113423208,11.187013792432845,0.0003,0.2,-6.107656426355243,4.1956658363342285,0.9048825725913048,210
982,32768,33.75,33,-82.86931113,2,0.016176064,0.231964111328125,-0.01588810389584978,11.016358518414199,0.0003,0.2,-6.039572241343558,6.062087059020996,0.9128671661019325,220
819,49152,33.56,59,-81.20193882999999,3,0.015534216,0.228973388671875,-0.01591436037542735,13.088899576663971,0.0003,0.2,-5.955273012071848,6.634568214416504,0.9029262065887451,230
767,65536,34.28,85,-81.0908747,4,0.01570201,0.21688232421875,-0.011342805675758428,12.563178760558367,0.0003,0.2,-5.8984444078058,6.702826023101807,0.9156158789992332,240
755,81920,35.76,108,-79.10175685,5,0.01485598,0.22901611328125,-0.011917234597149218,13.407569058053195,0.0003,0.2,-5.833554365113377,4.678969383239746,0.9138422980904579,250
740,98304,36.06,132,-77.26036598,6,0.015035555,0.211932373046875,-0.012517674235459708,15.383204431831837,0.0003,0.2,-5.773496197722852,5.916911602020264,0.9077828004956245,260
730,114688,37.43,157,-75.4439865,7,0.0151736615,0.2157470703125,-0.011637399784012814,15.22718136291951,0.0003,0.2,-5.693584346398711,14.09256362915039,0.9124658703804016,270
2475,16384,39.22,6,-73.53664495,1,0.015583086,0.20941162109375,-0.011303739149576586,13.137588220089674,0.0003,0.2,-5.602269721403718,6.466894149780273,0.9307391196489334,280
1215,32768,39.56,26,-71.80203993,2,0.016614957,0.218145751953125,-0.01349316476516833,11.23706796411425,0.0003,0.2,-5.5080910479649905,4.842248916625977,0.9449485577642918,290
932,49152,39.84,52,-71.04869148,3,0.016514994,0.2147705078125,-0.012492429824305873,11.614856313727795,0.0003,0.2,-5.37307578921318,11.805228233337402,0.944413810968399,300
865,65536,40.83,75,-68.58642525,4,0.015984789,0.214141845703125,-0.012601243751851144,15.924757184833288,0.0003,0.2,-5.271804742328823,8.03234577178955,0.9362976253032684,310
841,81920,42.83,97,-65.71631208,5,0.016029637,0.210345458984375,-0.010760353133355239,16.0616921748966,0.0003,0.2,-5.176063522510231,6.639315128326416,0.939861599355936,320
831,98304,43.24,118,-65.13214405999999,6,0.016447345,0.220703125,-0.01145319410825323,10.994614640902729,0.0003,0.2,-5.069658428244293,3.3374483585357666,0.95924162119627,330
814,114688,44.76,140,-62.34640888,7,0.016500201,0.207415771484375,-0.010178553496734822,17.80537687856704,0.0003,0.2,-4.998370136879385,5.768059730529785,0.9412485137581825,340
2302,16384,44.99,7,-60.983997020000004,1,0.016427342,0.216119384765625,-0.010470523942785803,14.72683673594147,0.0003,0.2,-4.888194702751934,4.853581428527832,0.9545775912702084,350
1168,32768,46.92,28,-59.16664497000001,2,0.017043801,0.2153076171875,-0.010034499907851569,13.325598441623152,0.0003,0.2,-4.748584644310176,6.351722717285156,0.9630109071731567,360
953,49152,48.46,51,-57.95991055,3,0.015964732,0.190008544921875,-0.007336918464170594,15.23171017980203,0.0003,0.2,-4.695238856226206,6.352898120880127,0.959716122597456,370
887,65536,49.67,73,-56.806456589999996,4,0.017892648,0.21727294921875,-0.007842079915462818,13.323023169208318,0.0003,0.2,-4.665802752040326,13.404876708984375,0.9645817242562771,380
836,81920,52.47,97,-52.63809405,5,0.01637261,0.197344970703125,-0.0074768150344425525,18.664168826676907,0.0003,0.2,-4.618937945179641,3.3002383708953857,0.9555330090224743,390
802,98304,51.85,122,-53.452420010000004,6,0.017292555,0.22208251953125,-0.008244592648770777,17.666945414245127,0.0003,0.2,-4.556295987404883,23.08230972290039,0.9591234773397446,400
788,114688,53.28,145,-52.480683690000006,7,0.015959356,0.216107177734375,-0.009490658567938227,16.178195962775497,0.0003,0.2,-4.455638965405524,4.111532211303711,0.9640873149037361,410
2415,16384,53.4,6,-52.8760052,1,0.01578413,0.2107666015625,-0.007205465335391637,14.535355880763381,0.0003,0.2,-4.395009732991457,4.369490623474121,0.9708877541124821,420
1030,32768,53.76,31,-52.41178594000001,2,0.01673379,0.212054443359375,-0.006134898768823405,21.217427447391675,0.0003,0.2,-4.3748853439465165,13.0210599899292,0.9592480584979057,430
880,49152,55.4,55,-49.65587359,3,0.014524018,0.2057861328125,-0.0033489983767594823,24.451390335336328,0.0003,0.2,-4.344160700682551,4.1107964515686035,0.9547746554017067,440
839,65536,56.11,78,-49.464998509999994,4,0.01596341,0.2195556640625,-0.00393978965412316,13.661740329116583,0.0003,0.2,-4.355499799828976,3.0832808017730713,0.9745775926858187,450
802,81920,56.58,102,-48.91651138999999,5,0.01496861,0.201239013671875,-0.004009707566638099,23.495704365335406,0.0003,0.2,-4.3200933542102575,3.139657974243164,0.9565246291458607,460
782,98304,56.91,125,-49.01138938,6,0.017475322,0.20361328125,-0.004671427671837591,18.947961603151633,0.0003,0.2,-4.229245209693909,11.644262313842773,0.9652174599468708,470
774,114688,56.47,148,-49.58897266000001,7,0.016139332,0.197454833984375,-0.002270567207960994,21.96594708189368,0.0003,0.2,-4.136613827943802,39.07517623901367,0.9599970020353794,480
2567,16384,59.13,6,-46.408640569999996,1,0.018019397,0.22393798828125,-0.004489051959899371,24.743850886262955,0.0003,0.2,-4.122964392323047,1.821726679801941,0.9568376503884792,490
1210,32768,57.96,27,-46.89672971000001,2,0.015620761,0.224505615234375,-0.002986162550678273,15.563044776488095,0.0003,0.2,-4.066051804088056,12.033939361572266,0.9724664688110352,500
1027,49152,58.2,47,-46.91999825,3,0.01700518,0.209844970703125,-0.0025039277487849177,13.606021993188188,0.0003,0.2,-4.052135889232159,2.1268084049224854,0.976622311398387,510
952,65536,58.17,68,-47.61280932,4,0.014453461,0.192279052734375,-0.002980470323427653,15.808122866880149,0.0003,0.2,-4.045692308619619,1.572884440422058,0.9714294709265232,520
906,81920,58.45,90,-47.76305343999999,5,0.015491243,0.207257080078125,-0.0010627405487866782,12.033877613814548,0.0003,0.2,-4.025065880082548,1.5707406997680664,0.9801610484719276,530
883,98304,57.2,111,-49.30635915,6,0.017995756,0.2072265625,-0.002505966635681034,19.792883886769413,0.0003,0.2,-4.003643988631666,9.086028099060059,0.9665864557027817,540
869,114688,58.9,131,-46.195525950000004,7,0.021550711,0.206591796875,-0.0011908975387086684,26.27714739749208,0.0003,0.2,-4.003944677114487,2.9860856533050537,0.9567471742630005,550
2581,16384,58.8,6,-46.40062592,1,0.016929705,0.229388427734375,-0.0002669748437256203,14.984593692002818,0.0003,0.2,-3.9488981938920915,1.7009695768356323,0.974100885912776,560
1209,32768,58.43,27,-47.172325060000006,2,0.016378153,0.208154296875,-0.00020119873679504962,12.01898714778945,0.0003,0.2,-3.8850141023285687,0.951511800289154,0.9793096948415041,570
1025,49152,59.76,47,-45.01015621,3,0.016468173,0.196875,-0.0018056951454127556,20.19082573191263,0.0003,0.2,-3.8995165578089654,29.40118408203125,0.9668282940983772,580
949,65536,59.21,69,-47.15314111999998,4,0.016170641,0.210455322265625,0.0002054282725111989,10.630657236999832,0.0003,0.2,-3.8365382625721396,1.3399059772491455,0.9839376658201218,590
906,81920,59.62,90,-45.55654184000001,5,0.017100168,0.20257568359375,-0.0012364227258331085,25.33575136172585,0.0003,0.2,-3.809976018499583,6.101342678070068,0.9594512917101383,600
