time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance
32768,21.08,-91.72494581000001,2,108,300,0.004495564764056326,0.015148042,0.2,0.1903076171875,11.684869766235352,-15.436286387592554,0.0003,780,16.33689767792821,0.764958456158638
49152,22.1,-93.48218901,3,98,499,0.006396925816079602,0.012211319,0.2,0.1806640625,9.050048828125,-15.222317200526595,0.0003,790,14.567498367466033,0.7806888967752457
65536,22.08,-91.70091255000001,4,92,710,0.006961531859815295,0.017449055,0.2,0.197698974609375,6.721160888671875,-15.176271053403616,0.0003,800,14.788498386740685,0.7828489691019058
81920,22.74,-92.39451637,5,87,931,0.006160913739950047,0.015531935,0.2,0.18887939453125,7.54060173034668,-15.411390174925327,0.0003,810,14.353941188007592,0.7890723347663879
98304,23.1,-92.04054693999998,6,87,1126,0.006172120898827416,0.0147667285,0.2,0.19434814453125,7.688138008117676,-15.168204868212342,0.0003,820,15.040650890767575,0.7851040065288544
114688,22.23,-91.50279000999998,7,85,1342,0.006032528808555071,0.012944053,0.2,0.180743408203125,6.6495280265808105,-15.444550344720483,0.0003,830,15.49837837126106,0.7888071686029434
16384,22.01,-91.5337273,1,211,77,0.00773367994788714,0.013416807,0.2,0.19761962890625,7.123702526092529,-15.280249300599099,0.0003,840,16.287578836083412,0.7816826105117798
32768,22.39,-93.14055324999998,2,118,275,0.005645373874540382,0.015506051,0.2,0.187933349609375,9.637630462646484,-15.416951430588961,0.0003,850,16.447774481214584,0.7744232714176178
49152,22.22,-91.65357560000002,3,99,495,0.00541965088023062,0.013027092,0.2,0.189996337890625,8.279135704040527,-15.482030254974962,0.0003,860,15.84084701128304,0.7764037996530533
65536,22.79,-93.08806835999998,4,92,705,0.007761297525030386,0.016496647,0.2,0.20106201171875,7.500629425048828,-15.34244906641543,0.0003,870,16.196531812660396,0.7728532254695892
81920,21.91,-92.59057273,5,88,928,0.005279534160581534,0.014132696,0.2,0.18658447265625,10.233904838562012,-15.408930239453912,0.0003,880,16.146845386736096,0.7785099446773529
98304,22.54,-91.20451214999999,6,87,1128,0.006592692104732123,0.01616332,0.2,0.1996826171875,9.727712631225586,-15.346706304326654,0.0003,890,16.244647328183056,0.768273800611496
114688,21.96,-91.78330332,7,85,1344,0.005391502609654708,0.015541807,0.2,0.199249267578125,8.085800170898438,-15.35289269424975,0.0003,900,15.452487950399519,0.7831315398216248
