time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates
2472,-54.09530351999999,52.89,3,49152,19,0.1088623046875,0.0003,0.2,10.928766250610352,-0.003895779058075277,-1.3003447787836193,0.9526275619864464,0.009406684,21.519178787991404,650
2330,-55.78761729000001,52.46,4,65536,28,0.10062255859375,0.0003,0.2,11.485478401184082,-0.003558378209891089,-1.2871634155511855,0.9550023227930069,0.008587942,20.99909699456766,660
2246,-54.93498683000001,52.84,5,81920,36,0.113677978515625,0.0003,0.2,5.712430477142334,-0.003720537789467926,-1.2912050652783365,0.9621942304074764,0.00934935,17.86319396784529,670
2195,-54.43773031,52.77,6,98304,44,0.100946044921875,0.0003,0.2,2.2335805892944336,-0.004926706077185372,-1.2607686257455497,0.9753702282905579,0.0073926216,11.713524336181582,680
2150,-53.20589801999999,53.53,7,114688,53,0.10162353515625,0.0003,0.2,9.993884086608887,-0.005029285915315995,-1.232488607103005,0.9506725817918777,0.00791656,24.621203447598965,690
4661,-52.10211307,54.96,1,16384,3,0.1184814453125,0.0003,0.2,17.631813049316406,-0.004583691969946813,-1.2180179059039802,0.9618001654744148,0.008946615,19.55864581800997,700
2779,-53.07687583,53.82,2,32768,11,0.111285400390625,0.0003,0.2,3.0234897136688232,-0.003118327394395237,-1.205694028455764,0.9618570692837238,0.008966648,19.43790977075696,710
2436,-51.928592319999986,54.92,3,49152,20,0.0990966796875,0.0003,0.2,3.3744795322418213,-0.0030865001537677015,-1.1836550580337644,0.9613799750804901,0.008159275,20.062293649092318,720
2309,-50.62328121,56.12,4,65536,28,0.10391845703125,0.0003,0.2,2.5359914302825928,-0.0036836741007391536,-1.171968712634407,0.9805038291960955,0.008299511,10.262884610518814,730
2237,-50.55062024000001,56.4,5,81920,36,0.095184326171875,0.0003,0.2,5.38318395614624,-0.003532842388176505,-1.1515905702719464,0.9624468460679054,0.007347405,20.19899021843448,740
